quarter,channel,type,spend,impressions,input_value,inc_rev_aligned,roas_aligned,inc_rev_realized,roas_realized_wonky,eff_per_input_unit,tail_truncated,roas_aligned_lo,roas_aligned_hi,inc_rev_lo,inc_rev_hi,exported_at
2025Q4,Search,paid,271375.91,343050.0,,810827.5,2.9878389835357666,767154.5,2.826907157897949,,False,1.7927405834197998,4.603250026702881,,,2026-05-25 14:11:04
2025Q4,Video_Epsilon,paid,252161.41999999998,11528893.0,,1360840.375,5.396703243255615,805559.75,3.1946194171905518,,False,2.132030725479126,10.725478172302246,,,2026-05-25 14:11:04
2025Q4,Video_Google,paid,216919.89,41140584.0,,495149.0,2.28263521194458,431812.6875,1.9906550645828247,,False,0.850699245929718,4.683053016662598,,,2026-05-25 14:11:04
2025Q4,Video_Hulu,paid,102011.11,3485280.0,,380466.25,3.7296550273895264,219253.421875,2.1493091583251953,,False,1.4470806121826172,7.462839603424072,,,2026-05-25 14:11:04
2025Q4,Video_MNTN,paid,0.0,0.0,,0.0,,190806.515625,,,False,,,,,2026-05-25 14:11:04
2025Q4,Video_Paramount,paid,100042.0,4401906.0,,707829.5625,7.075324058532715,391120.96875,3.9095675945281982,,False,2.4264774322509766,15.606619834899902,,,2026-05-25 14:11:04
2025Q4,ALL_PAID (blended),paid_blend,1782607.54,149478960.0,,6604500.25,3.7049659567803688,5523937.71875,3.09879633895748,,False,,,,,2026-05-25 14:11:04
2026Q1,Celebs,non_media,,,3.0,,,813544.375,,271181.4583333333,False,,,40619.25,1586376.0,2026-05-25 14:11:04
2026Q1,Email_sends,non_media,,,25944968.0,,,7974382.5,,0.30735757700684,False,,,3406524.5,12527647.0,2026-05-25 14:11:04
2026Q1,Redemptions_Birthday_Signup,non_media,,,8449.23,,,2611091.75,,309.0331012411782,False,,,-7458721.5,12703536.0,2026-05-25 14:11:04
2026Q1,Redemptions_Other,non_media,,,690.94,,,15580.193359375,,22.549271079073435,False,,,-264602.90625,294268.4375,2026-05-25 14:11:04
2026Q1,StoreCount,non_media,,,125.21978021978023,,,15895903.0,,126944.02571303202,False,,,3524483.5,28126678.0,2026-05-25 14:11:04
2026Q1,Vault_Drops,non_media,,,11.0,,,1779132.25,,161739.29545454544,False,,,-2299079.25,5890646.5,2026-05-25 14:11:04
2026Q1,Amex,paid,0.0,0.0,,0.0,,106029.5,,,True,,,,,2026-05-25 14:11:04
2026Q1,Meta,paid,260210.84,31388198.0,,1138839.375,4.3766021728515625,1190702.375,4.575913906097412,,True,1.9979606866836548,8.109708786010742,,,2026-05-25 14:11:04
2026Q1,PMAX,paid,61108.51,22997336.0,,446763.53125,7.3109869956970215,474266.5625,7.7610554695129395,,True,2.9300434589385986,14.632704734802246,,,2026-05-25 14:11:04
2026Q1,Search,paid,258899.22,237697.0,,671673.5625,2.594343662261963,707784.1875,2.733821153640747,,True,1.5420969724655151,4.012778282165527,,,2026-05-25 14:11:04
2026Q1,Video_Epsilon,paid,0.0,0.0,,0.0,,555287.5625,,,True,,,,,2026-05-25 14:11:04
2026Q1,Video_Google,paid,87370.89,16692392.0,,412415.875,4.72028923034668,479599.5,5.489236831665039,,True,1.7755988836288452,9.634073257446289,,,2026-05-25 14:11:04
2026Q1,Video_Hulu,paid,0.0,0.0,,0.0,,161214.765625,,,True,,,,,2026-05-25 14:11:04
2026Q1,Video_MNTN,paid,55635.869999999995,743884.0,,165979.046875,2.9833099842071533,85547.3203125,1.5376288890838623,,True,1.0323545932769775,6.419257164001465,,,2026-05-25 14:11:04
2026Q1,Video_Paramount,paid,0.0,0.0,,0.0,,316706.15625,,,True,,,,,2026-05-25 14:11:04
2026Q1,ALL_PAID (blended),paid_blend,723225.33,72059507.0,,2835671.390625,3.920868466574588,4077137.9296875,5.6374379609844425,,True,,,,,2026-05-25 14:11:04
2026Q2,Celebs,non_media,,,0.0,,,0.0,,,False,,,0.0,0.0,2026-05-25 14:11:04
2026Q2,Email_sends,non_media,,,8498664.0,,,2612129.75,,0.3073576917501386,False,,,1115858.0,4103618.5,2026-05-25 14:11:04
2026Q2,Redemptions_Birthday_Signup,non_media,,,67.52,,,20866.2109375,,309.03748426392184,False,,,-59604.6015625,101516.203125,2026-05-25 14:11:04
2026Q2,Redemptions_Other,non_media,,,75.06,,,1692.5499267578125,,22.549292922432887,False,,,-28745.19921875,31967.40625,2026-05-25 14:11:04
2026Q2,StoreCount,non_media,,,121.60714285714286,,,3881688.25,,31919.903377386196,False,,,860655.875,6868347.0,2026-05-25 14:11:04
2026Q2,Vault_Drops,non_media,,,2.0,,,323478.46875,,161739.234375,False,,,-418014.40625,1071026.625,2026-05-25 14:11:04
2026Q2,Amex,paid,0.0,0.0,,0.0,,0.0,,,True,,,,,2026-05-25 14:11:04
2026Q2,Meta,paid,126730.35,11591932.0,,293993.8125,2.3198373317718506,387058.0625,3.0541858673095703,,True,0.8136377930641174,4.666324615478516,,,2026-05-25 14:11:04
2026Q2,PMAX,paid,23042.91,7349507.0,,105776.6640625,4.590421199798584,141765.578125,6.152242660522461,,True,1.4430859088897705,9.850257873535156,,,2026-05-25 14:11:04
2026Q2,Search,paid,83704.45,81082.0,,164432.75,1.9644445180892944,226742.859375,2.708850622177124,,True,0.8359107375144958,3.3653039932250977,,,2026-05-25 14:11:04
2026Q2,Video_Epsilon,paid,0.0,0.0,,0.0,,0.0,,,True,,,,,2026-05-25 14:11:04
2026Q2,Video_Google,paid,24456.2,6563701.0,,46555.5078125,1.9036281108856201,149013.828125,6.093090057373047,,True,0.6230710744857788,4.213592529296875,,,2026-05-25 14:11:04
2026Q2,Video_Hulu,paid,0.0,0.0,,0.0,,0.0,,,True,,,,,2026-05-25 14:11:04
2026Q2,Video_MNTN,paid,29792.43,418364.0,,49486.0859375,1.6610288619995117,129917.6484375,4.36076021194458,,True,0.49898582696914673,3.921877145767212,,,2026-05-25 14:11:04
2026Q2,Video_Paramount,paid,0.0,0.0,,0.0,,0.0,,,True,,,,,2026-05-25 14:11:04
2026Q2,ALL_PAID (blended),paid_blend,287726.34,26004586.0,,660244.8203125,2.2946971775767904,1034497.9765625,3.5954232642117505,,True,,,,,2026-05-25 14:11:04
