channel,adstock,lag_weeks,pct_of_revenue,cumulative_pct,impulse_week,impulse_note,exported_at
Video_Hulu,binomial,12,0.026560306549072266,1.0,2025-12-07,peak activity in-window,2026-05-25 14:47:32
Video_MNTN,binomial,0,0.14894022047519684,0.14894022047519684,2024-12-15,peak activity in-window,2026-05-25 14:47:32
Video_MNTN,binomial,1,0.12956446409225464,0.2785046696662903,2024-12-15,peak activity in-window,2026-05-25 14:47:32
Video_MNTN,binomial,2,0.11434779316186905,0.39285245537757874,2024-12-15,peak activity in-window,2026-05-25 14:47:32
Video_MNTN,binomial,3,0.10155416280031204,0.4944066107273102,2024-12-15,peak activity in-window,2026-05-25 14:47:32
Video_MNTN,binomial,4,0.09041709452867508,0.584823727607727,2024-12-15,peak activity in-window,2026-05-25 14:47:32
Video_MNTN,binomial,5,0.08048662543296814,0.6653103828430176,2024-12-15,peak activity in-window,2026-05-25 14:47:32
Video_MNTN,binomial,6,0.07145829498767853,0.7367686629295349,2024-12-15,peak activity in-window,2026-05-25 14:47:32
Video_MNTN,binomial,7,0.06310844421386719,0.7998771071434021,2024-12-15,peak activity in-window,2026-05-25 14:47:32
Video_MNTN,binomial,8,0.05525340884923935,0.8551304936408997,2024-12-15,peak activity in-window,2026-05-25 14:47:32
Video_MNTN,binomial,9,0.04771877080202103,0.9028492569923401,2024-12-15,peak activity in-window,2026-05-25 14:47:32
Video_MNTN,binomial,10,0.04030251130461693,0.9431517720222473,2024-12-15,peak activity in-window,2026-05-25 14:47:32
Video_MNTN,binomial,11,0.03269343078136444,0.975845217704773,2024-12-15,peak activity in-window,2026-05-25 14:47:32
Video_MNTN,binomial,12,0.02415480650961399,1.0,2024-12-15,peak activity in-window,2026-05-25 14:47:32
Video_Paramount,binomial,0,0.14160341024398804,0.14160341024398804,2023-12-03,peak activity in-window,2026-05-25 14:47:32
Video_Paramount,binomial,1,0.12497158348560333,0.2665749788284302,2023-12-03,peak activity in-window,2026-05-25 14:47:32
Video_Paramount,binomial,2,0.11175466328859329,0.37832963466644287,2023-12-03,peak activity in-window,2026-05-25 14:47:32
Video_Paramount,binomial,3,0.1004456877708435,0.4787753224372864,2023-12-03,peak activity in-window,2026-05-25 14:47:32
Video_Paramount,binomial,4,0.0904214009642601,0.5691967010498047,2023-12-03,peak activity in-window,2026-05-25 14:47:32
Video_Paramount,binomial,5,0.08132309466600418,0.6505197882652283,2023-12-03,peak activity in-window,2026-05-25 14:47:32
Video_Paramount,binomial,6,0.07291208207607269,0.7234318852424622,2023-12-03,peak activity in-window,2026-05-25 14:47:32
Video_Paramount,binomial,7,0.06500828266143799,0.7884401679039001,2023-12-03,peak activity in-window,2026-05-25 14:47:32
Video_Paramount,binomial,8,0.05745541676878929,0.8458955883979797,2023-12-03,peak activity in-window,2026-05-25 14:47:32
Video_Paramount,binomial,9,0.05009462684392929,0.8959901928901672,2023-12-03,peak activity in-window,2026-05-25 14:47:32
Video_Paramount,binomial,10,0.042731013149023056,0.9387211799621582,2023-12-03,peak activity in-window,2026-05-25 14:47:32
Video_Paramount,binomial,11,0.035041969269514084,0.9737631678581238,2023-12-03,peak activity in-window,2026-05-25 14:47:32
Video_Paramount,binomial,12,0.026236772537231445,0.9999999403953552,2023-12-03,peak activity in-window,2026-05-25 14:47:32
